dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,cv,smote,16,64,8754,4660,4094,2917,1553,1364,short_long_description,200,475,142,1078,1222,0.7698541329011345,0.46869565217391307,0.6192748925375238,0.7698541329011345,0.2799057159693577,0.4105445116681071
Eclipse,knn,cv,unbalanced,16,64,6707,4660,2047,2235,1553,682,short_long_description,200,1268,529,285,153,0.7056204785754034,0.6506849315068494,0.6781527050411265,0.7056204785754034,0.8923293455313159,0.7880671224362957
Eclipse,knn,cv,custom,20,64,4094,2047,2047,1364,682,682,short_long_description,200,248,227,434,455,0.5221052631578947,0.4881889763779528,0.5051471197679238,0.5221052631578947,0.352773826458037,0.4210526315789474
Eclipse,knn,cv,downsample,20,64,4094,2047,2047,1364,682,682,short_long_description,200,248,227,434,455,0.5221052631578947,0.4881889763779528,0.5051471197679238,0.5221052631578947,0.352773826458037,0.4210526315789474
Eclipse,knn,cv,smote,20,64,8969,4875,4094,2989,1625,1364,short_long_description,200,502,182,1123,1182,0.7339181286549707,0.48720173535791755,0.6105599320064441,0.7339181286549707,0.2980997624703088,0.42398648648648646
Eclipse,knn,cv,unbalanced,20,64,6922,4875,2047,2307,1625,682,short_long_description,200,1292,523,333,159,0.7118457300275483,0.676829268292683,0.6943374991601157,0.7118457300275483,0.8904203997243281,0.7911818738518066
Eclipse,knn,cv,custom,24,64,4094,2047,2047,1364,682,682,short_long_description,200,216,208,466,474,0.5094339622641509,0.4957446808510638,0.5025893215576074,0.5094339622641509,0.3130434782608696,0.3877917414721723
Eclipse,knn,cv,downsample,24,64,4094,2047,2047,1364,682,682,short_long_description,200,216,208,466,474,0.5094339622641509,0.4957446808510638,0.5025893215576074,0.5094339622641509,0.3130434782608696,0.3877917414721723
Eclipse,knn,cv,smote,24,64,9180,5086,4094,3059,1695,1364,short_long_description,200,542,191,1153,1173,0.7394270122783083,0.49570077386070505,0.6175638930695067,0.7394270122783083,0.3160349854227405,0.4428104575163398
Eclipse,knn,cv,unbalanced,24,64,7133,5086,2047,2377,1695,682,short_long_description,200,1390,554,305,128,0.7150205761316872,0.7043879907621247,0.709704283446906,0.7150205761316872,0.9156785243741765,0.803004043905257
Eclipse,knn,cv,custom,28,64,4094,2047,2047,1364,682,682,short_long_description,200,270,250,412,432,0.5192307692307693,0.4881516587677725,0.5036912139992709,0.5192307692307693,0.38461538461538464,0.44189852700490995
